index,task,model,n_samples,n_correct,accuracy,total_latency_ms,total_prompt_tokens,total_completion_tokens
results/no_thinking/caveman,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-2507,1209,1182,0.9776674937965261,5307589,335378,103721
results/no_thinking/default_prompt,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-2507,1209,1182,0.9776674937965261,10406160,117925,259151
results/no_thinking/math_caveman,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-2507,1209,1180,0.9760132340777502,5175521,294787,120022
results/no_thinking/minimalist_math_caveman,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-2507,1209,1190,0.9842845326716294,7867952,189036,187606
results/no_thinking/no_prompt,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-2507,1209,1184,0.9793217535153019,9791706,100921,249193
results/no_thinking/oneshot_prompt,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-2507,1209,975,0.8064516129032258,4707688,119141,72954
results/thinking/caveman,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-thinking-2507,1209,1086,0.8982630272952854,18772462,335368,729464
results/thinking/default_prompt,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-thinking-2507,1209,1110,0.9181141439205955,21252319,118816,877340
results/thinking/math_caveman,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-thinking-2507,1209,1173,0.9702233250620348,15368806,295535,579471
results/thinking/minimalist_math_caveman,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-thinking-2507,1209,1182,0.9776674937965261,18605584,190211,724727
results/thinking/no_prompt,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-thinking-2507,1209,1059,0.8759305210918115,23865351,102148,931159
results/thinking/oneshot_prompt,gsm8k_platinum.py,openrouter/qwen/qwen3-235b-a22b-thinking-2507,1209,1183,0.978494623655914,16731621,120094,548066
